"","month","day","begin_time","visitor_id","session_id","is_active","index","end_time"
"454","Nov","2","11:12:21","2247344","11443394",TRUE,454,"11:13:07"
"461","Nov","2","11:51:26","2247364","11444044",TRUE,461,"11:53:16"
"471","Nov","2","12:04:49","2247479","11444362",TRUE,471,"12:05:38"
"484","Nov","2","12:07:42","2247399","11444429",TRUE,484,"12:08:51"
"500","Nov","2","12:23:50","2247629","11444827",TRUE,500,"12:24:42"
"507","Nov","2","12:24:50","2247629","11444855",TRUE,507,"12:25:15"
"515","Nov","2","12:35:12","2247781","11445184",TRUE,515,"12:35:39"
"522","Nov","2","12:36:32","2247381","11445226",TRUE,522,"12:37:29"
"532","Nov","2","12:37:39","2247351","11445262",TRUE,532,"12:39:13"
"542","Nov","2","12:43:23","2247462","11445437",TRUE,542,"12:44:02"
"549","Nov","2","12:53:46","2247406","11445763",TRUE,549,"12:53:51"
"653","Nov","2","12:54:15","2247406","11445779",TRUE,653,"12:56:38"
"669","Nov","2","12:57:13","2247677","11445874",FALSE,669,"12:57:13"
"670","Nov","2","13:07:54","2247811","11446218",TRUE,670,"13:08:25"
"677","Nov","2","13:08:29","2247811","11446236",TRUE,677,"13:10:51"
"690","Nov","2","13:19:32","2247933","11446536",TRUE,690,"13:20:04"
"697","Nov","2","13:20:42","2247691","11446571",TRUE,697,"13:21:50"
"707","Nov","2","13:27:54","2247603","11446779",TRUE,707,"13:28:30"
"714","Nov","2","13:29:39","2247365","11446829",TRUE,714,"13:31:00"
"721","Nov","2","13:32:39","2248122","11446900",TRUE,721,"13:33:20"
"728","Nov","2","13:40:37","2247941","11447115",TRUE,728,"13:41:12"
"735","Nov","2","13:41:23","2247607","11447131",TRUE,735,"13:42:03"
"742","Nov","2","13:53:24","2248121","11447489",TRUE,742,"13:55:25"
"755","Nov","2","13:56:17","2247347","11447569",TRUE,755,"13:57:52"
"765","Nov","2","14:01:14","2247943","11447728",TRUE,765,"14:04:06"
"777","Nov","2","14:13:57","2248383","11448096",TRUE,777,"14:15:51"
"796","Nov","2","14:16:49","2247593","11448208",TRUE,796,"14:18:04"
"809","Nov","2","14:19:02","2247567","11448271",TRUE,809,"14:19:54"
"816","Nov","2","14:22:20","2247568","11448352",TRUE,816,"14:24:21"
"839","Nov","2","14:24:33","2248334","11448428",TRUE,839,"14:24:51"
"846","Nov","2","14:33:22","2247544","11448691",TRUE,846,"14:34:26"
"853","Nov","2","14:39:12","2247792","11448867",TRUE,853,"14:39:17"
"953","Nov","2","14:40:50","2247927","11448919",TRUE,953,"14:41:19"
"960","Nov","2","14:41:21","2247927","11448938",TRUE,960,"14:45:27"
