"","month","day","begin_time","visitor_id","session_id","is_active","index","end_time"
"84","Nov","2","11:26:59","2247465","11443568",TRUE,84,"11:27:52"
"91","Nov","2","11:37:30","2247472","11443783",TRUE,91,"11:37:50"
"99","Nov","2","11:37:53","2247517","11443791",TRUE,99,"11:39:49"
"122","Nov","2","11:42:37","2247506","11443873",TRUE,122,"11:43:19"
"129","Nov","2","11:45:38","2247364","11443935",TRUE,129,"11:48:08"
"153","Nov","2","11:48:39","2247272","11443982",TRUE,153,"11:51:58"
"160","Nov","2","11:52:24","2247382","11444068",TRUE,160,"11:54:54"
"173","Nov","2","11:55:07","2247460","11444140",TRUE,173,"11:55:37"
"180","Nov","2","12:02:20","2247625","11444304",TRUE,180,"12:03:46"
"188","Nov","2","12:03:52","2247668","11444337",TRUE,188,"12:06:18"
"193","Nov","2","12:11:38","2247571","11444527",TRUE,193,"12:12:05"
"200","Nov","2","12:26:56","2247537","11444917",TRUE,200,"12:27:46"
"207","Nov","2","12:29:12","2247759","11444989",TRUE,207,"12:30:13"
"214","Nov","2","12:31:14","2247462","11445049",TRUE,214,"12:33:14"
"239","Nov","2","12:33:49","2247380","11445132",TRUE,239,"12:37:05"
"260","Nov","2","12:39:42","2247767","11445329",TRUE,260,"12:41:48"
"267","Nov","2","12:45:20","2247352","11445500",TRUE,267,"12:45:43"
"274","Nov","2","12:45:55","2247473","11445526",TRUE,274,"12:47:30"
"281","Nov","2","12:50:03","2247578","11445654",TRUE,281,"12:50:44"
"288","Nov","2","12:51:03","2247861","11445681",TRUE,288,"12:52:09"
"295","Nov","2","12:52:41","2247279","11445732",TRUE,295,"12:55:37"
"306","Nov","2","12:56:06","2247724","11445840",TRUE,306,"12:58:21"
"328","Nov","2","12:58:28","2247733","11445915",TRUE,328,"13:00:16"
"338","Nov","2","13:06:15","2247865","11446165",TRUE,338,"13:09:25"
"347","Nov","2","13:10:10","2247903","11446271",TRUE,347,"13:13:53"
"371","Nov","2","13:15:39","2247815","11446424",TRUE,371,"13:18:16"
"381","Nov","2","13:20:01","2247970","11446552",TRUE,381,"13:20:36"
"388","Nov","2","13:21:05","2247873","11446586",TRUE,388,"13:32:22"
"435","Nov","2","13:34:23","2247604","11446948",TRUE,435,"13:35:24"
"442","Nov","2","13:38:07","2247876","11447048",TRUE,442,"13:41:00"
"464","Nov","2","13:41:23","2248147","11447129",TRUE,464,"13:43:33"
"476","Nov","2","13:44:38","2248121","11447227",TRUE,476,"13:46:04"
"483","Nov","2","13:46:06","2248121","11447271",TRUE,483,"13:49:57"
"507","Nov","2","13:50:08","2247776","11447390",TRUE,507,"13:52:16"
"514","Nov","2","13:54:51","2247772","11447539",TRUE,514,"13:55:46"
"521","Nov","2","13:56:03","2247503","11447560",TRUE,521,"13:56:24"
"529","Nov","2","14:01:23","2248021","11447731",TRUE,529,"14:04:16"
"551","Nov","2","14:04:44","2247347","11447829",TRUE,551,"14:06:24"
"558","Nov","2","14:06:49","2247516","11447898",TRUE,558,"14:10:38"
"582","Nov","2","14:10:57","2247943","11448010",TRUE,582,"14:12:28"
"589","Nov","2","14:12:39","2247922","11448058",TRUE,589,"14:12:46"
"596","Nov","2","14:13:47","2248326","11448088",TRUE,596,"14:16:22"
"621","Nov","2","14:17:17","2248334","11448220",TRUE,621,"14:20:11"
"630","Nov","2","14:20:43","2248163","11448308",TRUE,630,"14:23:49"
"655","Nov","2","14:25:06","2247792","11448447",TRUE,655,"14:30:26"
"678","Nov","2","14:35:45","2248433","11448778",TRUE,678,"14:37:59"
"702","Nov","2","14:38:16","2247593","11448844",TRUE,702,"14:39:13"
"709","Nov","2","14:39:22","2247593","11448875",FALSE,709,"14:39:22"
"710","Nov","2","14:40:17","2247593","11448905",TRUE,710,"14:40:30"
"717","Nov","2","14:41:40","2247872","11448950",TRUE,717,"14:43:50"
"737","Nov","2","14:44:03","2248571","11449028",TRUE,737,"14:44:38"
"744","Nov","2","14:46:14","2248567","11449102",TRUE,744,"14:48:25"
"751","Nov","2","14:48:43","2248447","11449186",TRUE,751,"14:50:41"
"761","Nov","2","14:51:59","2248144","11449282",TRUE,761,"14:53:55"
"768","Nov","2","14:54:01","2248256","11449363",TRUE,768,"14:56:35"
"788","Nov","2","14:56:53","2248250","11449467",TRUE,788,"14:58:53"
"798","Nov","2","14:59:47","2247927","11449550",TRUE,798,"15:01:51"
"804","Nov","2","15:02:53","2248776","11449638",TRUE,804,"15:05:31"
"825","Nov","2","15:08:01","2247298","11449823",TRUE,825,"15:08:35"
"832","Nov","2","15:09:16","2248180","11449874",TRUE,832,"15:10:36"
"840","Nov","2","15:10:39","2248753","11449908",TRUE,840,"15:13:43"
"862","Nov","2","15:15:13","2248667","11450063",TRUE,862,"15:18:16"
"869","Nov","2","15:18:34","2248445","11450189",TRUE,869,"15:19:22"
"876","Nov","2","15:20:09","2248481","11450229",TRUE,876,"15:24:03"
"901","Nov","2","15:24:20","2248555","11450357",TRUE,901,"15:26:15"
"908","Nov","2","15:26:39","2248846","11450452",TRUE,908,"15:28:52"
"914","Nov","2","15:28:59","2247515","11450527",TRUE,914,"15:32:34"
"936","Nov","2","15:33:13","2248932","11450660",TRUE,936,"15:38:16"
"961","Nov","2","15:38:20","2248249","11450833",TRUE,961,"15:40:06"
"985","Nov","2","15:40:22","2248961","11450909",TRUE,985,"15:42:07"
"992","Nov","2","15:42:37","2248871","11450991",TRUE,992,"15:44:02"
"999","Nov","2","15:48:14","2248842","11451182",TRUE,999,"15:52:40"
"1021","Nov","2","15:53:05","2248799","11451320",TRUE,1021,"15:55:27"
"1047","Nov","2","15:56:03","2249032","11451397",TRUE,1047,"15:57:21"
"1054","Nov","2","15:58:57","2248894","11451470",TRUE,1054,"16:00:52"
"1061","Nov","2","16:01:00","2248615","11451535",TRUE,1061,"16:01:20"
"1068","Nov","2","16:03:06","2248894","11451580",TRUE,1068,"16:05:30"
"1073","Nov","2","16:05:35","2248650","11451656",TRUE,1073,"16:07:17"
"1080","Nov","2","16:07:58","2248648","11451731",TRUE,1080,"16:10:40"
"1093","Nov","2","16:14:32","2249036","11451899",TRUE,1093,"16:15:15"
"1100","Nov","2","16:15:48","2249052","11451935",TRUE,1100,"16:20:37"
"1124","Nov","2","16:22:01","2248740","11452097",TRUE,1124,"16:24:54"
"1135","Nov","2","16:25:32","2249049","11452185",TRUE,1135,"16:25:39"
"1142","Nov","2","16:29:27","2248944","11452277",TRUE,1142,"16:31:46"
"1155","Nov","2","16:33:52","2249095","11452388",TRUE,1155,"16:35:34"
"1162","Nov","2","16:42:26","2248649","11452623",TRUE,1162,"16:44:16"
"1169","Nov","2","16:44:37","2248854","11452664",TRUE,1169,"16:47:32"
"1179","Nov","2","16:49:37","2249166","11452758",TRUE,1179,"16:52:10"
"1193","Nov","2","16:52:38","2248544","11452822",TRUE,1193,"16:56:01"
"1215","Nov","2","17:01:12","2248509","11453038",TRUE,1215,"17:02:03"
"1222","Nov","2","17:15:09","2248985","11453345",TRUE,1222,"17:17:21"
"1229","Nov","2","17:28:34","2249158","11453654",TRUE,1229,"17:31:02"
"1236","Nov","2","17:35:22","2249167","11453807",TRUE,1236,"17:36:00"
"1243","Nov","2","17:39:51","2249025","11453923",TRUE,1243,"17:40:42"
"1250","Nov","2","17:42:34","2249006","11453993",TRUE,1250,"17:44:00"
"1258","Nov","2","17:45:06","2249131","11454055",TRUE,1258,"17:48:48"
"1278","Nov","2","17:48:52","2249132","11454122",TRUE,1278,"17:50:43"
